ID,SourceCurrency,DestinationCurrency,SourceAmount
173,USD,EUR,55641.05
174,EUR,AUD,55956.9
175,EUR,AUD,56272.75
176,EUR,INR,56588.6
177,USD,EUR,56904.45
178,EUR,AUD,57220.3
179,EUR,AUD,57536.15
180,EUR,INR,57852
181,USD,EUR,58167.85
182,EUR,AUD,58483.7
183,EUR,AUD,58799.55
184,EUR,INR,59115.4
185,USD,EUR,59431.25
186,EUR,AUD,59747.1
187,EUR,AUD,60062.95
188,EUR,INR,60378.8
189,USD,EUR,60694.65
190,EUR,AUD,61010.5
191,EUR,AUD,61326.35
192,EUR,INR,61642.2
193,USD,EUR,61958.05
194,EUR,AUD,62273.9
195,EUR,AUD,62589.75
196,EUR,INR,62905.6
197,USD,EUR,63221.45
198,EUR,AUD,63537.3
199,EUR,AUD,63853.15
200,EUR,INR,64169
201,USD,EUR,64484.85
202,EUR,AUD,64800.7
203,EUR,AUD,65116.55
204,EUR,INR,65432.4
205,USD,EUR,65748.25
206,EUR,AUD,66064.1
207,EUR,AUD,66379.95
208,EUR,INR,66695.8
209,USD,EUR,67011.65
210,EUR,AUD,67327.5
211,EUR,AUD,67643.35
212,EUR,INR,67959.2
213,USD,EUR,68275.05
214,EUR,AUD,68590.9
215,EUR,AUD,68906.75
216,EUR,INR,69222.6
217,USD,EUR,69538.45
218,EUR,AUD,69854.3
219,EUR,AUD,70170.15
220,EUR,INR,70486
221,USD,EUR,70801.85
222,EUR,AUD,71117.7
223,EUR,AUD,71433.55
224,EUR,INR,71749.4
225,USD,EUR,72065.25
226,EUR,AUD,72381.1
227,EUR,AUD,72696.95
228,EUR,INR,73012.8
229,USD,EUR,73328.65
230,EUR,AUD,73644.5
231,EUR,AUD,73960.35
232,EUR,INR,74276.2
233,USD,EUR,74592.05
234,EUR,AUD,74907.9
235,EUR,AUD,75223.75
236,EUR,INR,75539.6
237,USD,EUR,75855.45
238,EUR,AUD,76171.3
239,EUR,AUD,76487.15
240,EUR,INR,76803
241,USD,EUR,77118.85
242,EUR,AUD,77434.7
243,EUR,AUD,77750.55
244,EUR,INR,78066.4
245,USD,EUR,78382.25
246,EUR,AUD,78698.1
247,EUR,AUD,79013.95
248,EUR,INR,79329.8
249,USD,EUR,79645.65
250,EUR,AUD,79961.5
251,EUR,AUD,80277.35
252,EUR,INR,80593.2
253,USD,EUR,80909.05
254,EUR,AUD,81224.9
255,EUR,AUD,81540.75
256,EUR,INR,81856.6
257,USD,EUR,82172.45
258,EUR,AUD,82488.3
259,EUR,AUD,82804.15
260,EUR,INR,83120
261,USD,EUR,83435.85
262,EUR,AUD,83751.7
263,EUR,AUD,84067.55
264,EUR,INR,84383.4
265,USD,EUR,84699.25
266,EUR,AUD,85015.1
267,EUR,AUD,85330.95
268,EUR,INR,85646.8
269,USD,EUR,85962.65
270,EUR,AUD,86278.5
271,EUR,AUD,86594.35
272,EUR,INR,86910.2
273,USD,EUR,87226.05
274,EUR,AUD,87541.9
275,EUR,AUD,87857.75
276,EUR,INR,88173.6
277,USD,EUR,88489.45
278,EUR,AUD,88805.3
279,EUR,AUD,89121.15
280,EUR,INR,89437
281,USD,EUR,89752.85
282,EUR,AUD,90068.7
283,EUR,AUD,90384.55
284,EUR,INR,90700.4
285,USD,EUR,91016.25
286,EUR,AUD,91332.1
287,EUR,AUD,91647.95
288,EUR,INR,91963.8
289,USD,EUR,92279.65
290,EUR,AUD,92595.5
291,EUR,AUD,92911.35
292,EUR,INR,93227.2
293,USD,EUR,93543.05
294,EUR,AUD,93858.9
295,EUR,AUD,94174.75
296,EUR,INR,94490.6
297,USD,EUR,94806.45
298,EUR,AUD,95122.3
299,EUR,AUD,95438.15
300,EUR,INR,95754
301,USD,EUR,96069.85
302,EUR,AUD,96385.7
303,EUR,AUD,96701.55
304,EUR,INR,97017.4
305,USD,EUR,97333.25
306,EUR,AUD,97649.1
307,EUR,AUD,97964.95
308,EUR,INR,98280.8
309,USD,EUR,98596.65
310,EUR,AUD,98912.5
311,EUR,AUD,99228.35
312,EUR,INR,99544.2
313,USD,EUR,99860.05
314,EUR,AUD,100175.9
315,EUR,AUD,100491.75
316,EUR,INR,100807.6
317,USD,EUR,101123.45
318,EUR,AUD,101439.3
319,EUR,AUD,101755.15
320,EUR,INR,102071
321,USD,EUR,102386.85
322,EUR,AUD,102702.7
323,EUR,AUD,103018.55
324,EUR,INR,103334.4
325,USD,EUR,103650.25
326,EUR,AUD,103966.1
327,EUR,AUD,104281.95
328,EUR,INR,104597.8
329,USD,EUR,104913.65
330,EUR,AUD,105229.5
331,EUR,AUD,105545.35
332,EUR,INR,105861.2
333,USD,EUR,106177.05
334,EUR,AUD,106492.9
335,EUR,AUD,106808.75
336,EUR,INR,107124.6
337,USD,EUR,107440.45
338,EUR,AUD,107756.3
339,EUR,AUD,108072.15
340,EUR,INR,108388
341,USD,EUR,108703.85
342,EUR,AUD,109019.7
343,EUR,AUD,109335.55
344,EUR,INR,109651.4
345,USD,EUR,109967.25
346,EUR,AUD,110283.1
347,EUR,AUD,110598.95
348,EUR,INR,110914.8
349,USD,EUR,111230.65
350,EUR,AUD,111546.5
351,EUR,AUD,111862.35
352,EUR,INR,112178.2
353,USD,EUR,112494.05
354,EUR,AUD,112809.9
355,EUR,AUD,113125.75
356,EUR,INR,113441.6
357,USD,EUR,113757.45
358,EUR,AUD,114073.3
359,EUR,AUD,114389.15
360,EUR,INR,114705
361,USD,EUR,115020.85
362,EUR,AUD,115336.7
363,EUR,AUD,115652.55
364,EUR,INR,115968.4
365,USD,EUR,116284.25
366,EUR,AUD,116600.1
367,EUR,AUD,116915.95
368,EUR,INR,117231.8
369,USD,EUR,117547.65
370,EUR,AUD,117863.5
371,EUR,AUD,118179.35
372,EUR,INR,118495.2
373,USD,EUR,118811.05
374,EUR,AUD,119126.9
375,EUR,AUD,119442.75
376,EUR,INR,119758.6
377,USD,EUR,120074.45
378,EUR,AUD,120390.3
379,EUR,AUD,120706.15
380,EUR,INR,121022
381,USD,EUR,121337.85
382,EUR,AUD,121653.7
383,EUR,AUD,121969.55
384,EUR,INR,122285.4
385,USD,EUR,122601.25
386,EUR,AUD,122917.1
387,EUR,AUD,123232.95
388,EUR,INR,123548.8
389,USD,EUR,123864.65
390,EUR,AUD,124180.5
391,EUR,AUD,124496.35
392,EUR,INR,124812.2
393,USD,EUR,125128.05
394,EUR,AUD,125443.9
395,EUR,AUD,125759.75
396,EUR,INR,126075.6
397,USD,EUR,126391.45
398,EUR,AUD,126707.3
399,EUR,AUD,127023.15
400,EUR,INR,127339
401,USD,EUR,127654.85
402,EUR,AUD,127970.7
403,EUR,AUD,128286.55
404,EUR,INR,128602.4
405,USD,EUR,128918.25
406,EUR,AUD,129234.1
407,EUR,AUD,129549.95
408,EUR,INR,129865.8
409,USD,EUR,130181.65
410,EUR,AUD,130497.5
411,EUR,AUD,130813.35
412,EUR,INR,131129.2
413,USD,EUR,131445.05
414,EUR,AUD,131760.9
415,EUR,AUD,132076.75
416,EUR,INR,132392.6
417,USD,EUR,132708.45
418,EUR,AUD,133024.3
419,EUR,AUD,133340.15
420,EUR,INR,133656
421,USD,EUR,133971.85
422,EUR,AUD,134287.7
423,EUR,AUD,134603.55
424,EUR,INR,134919.4
425,USD,EUR,135235.25
426,EUR,AUD,135551.1
427,EUR,AUD,135866.95
428,EUR,INR,136182.8
429,USD,EUR,136498.65
430,EUR,AUD,136814.5
431,EUR,AUD,137130.35
432,EUR,INR,137446.2
433,USD,EUR,137762.05
434,EUR,AUD,138077.9
435,EUR,AUD,138393.75
436,EUR,INR,138709.6
437,USD,EUR,139025.45
438,EUR,AUD,139341.3
439,EUR,AUD,139657.15
440,EUR,INR,139973
441,USD,EUR,140288.85
442,EUR,AUD,140604.7
443,EUR,AUD,140920.55
444,EUR,INR,141236.4
445,USD,EUR,141552.25
446,EUR,AUD,141868.1
447,EUR,AUD,142183.95
448,EUR,INR,142499.8
449,USD,EUR,142815.65
450,EUR,AUD,143131.5
451,EUR,AUD,143447.35
452,EUR,INR,143763.2
453,USD,EUR,144079.05
454,EUR,AUD,144394.9
455,EUR,AUD,144710.75
456,EUR,INR,145026.6
457,USD,EUR,145342.45
458,EUR,AUD,145658.3
459,EUR,AUD,145974.15
460,EUR,INR,146290
461,USD,EUR,146605.85
462,EUR,AUD,146921.7
463,EUR,AUD,147237.55
464,EUR,INR,147553.4
465,USD,EUR,147869.25
466,EUR,AUD,148185.1
467,EUR,AUD,148500.95
468,EUR,INR,148816.8
469,USD,EUR,149132.65
470,EUR,AUD,149448.5
471,EUR,AUD,149764.35
472,EUR,INR,150080.2
473,USD,EUR,150396.05
474,EUR,AUD,150711.9
475,EUR,AUD,151027.75
476,EUR,INR,151343.6
477,USD,EUR,151659.45
478,EUR,AUD,151975.3
479,EUR,AUD,152291.15
480,EUR,INR,152607
481,USD,EUR,152922.85
482,EUR,AUD,153238.7
483,EUR,AUD,153554.55
484,EUR,INR,153870.4
485,USD,EUR,154186.25
486,EUR,AUD,154502.1
487,EUR,AUD,154817.95
488,EUR,INR,155133.8
489,USD,EUR,155449.65
490,EUR,AUD,155765.5
491,EUR,AUD,156081.35
492,EUR,INR,156397.2
493,USD,EUR,156713.05
494,EUR,AUD,157028.9
495,EUR,AUD,157344.75
496,EUR,INR,157660.6
497,USD,EUR,157976.45
498,EUR,AUD,158292.3
499,EUR,AUD,158608.15
500,EUR,INR,158924
501,USD,EUR,159239.85
502,EUR,AUD,159555.7
503,EUR,AUD,159871.55
504,EUR,INR,160187.4
505,USD,EUR,160503.25
506,EUR,AUD,160819.1
507,EUR,AUD,161134.95
508,EUR,INR,161450.8
509,USD,EUR,161766.65
510,EUR,AUD,162082.5
511,EUR,AUD,162398.35
512,EUR,INR,162714.2
513,USD,EUR,163030.05
514,EUR,AUD,163345.9
515,EUR,AUD,163661.75
516,EUR,INR,163977.6
517,USD,EUR,164293.45
518,EUR,AUD,164609.3
519,EUR,AUD,164925.15
520,EUR,INR,165241
521,USD,EUR,165556.85
522,EUR,AUD,165872.7
523,EUR,AUD,166188.55
524,EUR,INR,166504.4
525,USD,EUR,166820.25
526,EUR,AUD,167136.1
527,EUR,AUD,167451.95
528,EUR,INR,167767.8
529,USD,EUR,168083.65
530,EUR,AUD,168399.5
531,EUR,AUD,168715.35
532,EUR,INR,169031.2
533,USD,EUR,169347.05
534,EUR,AUD,169662.9
535,EUR,AUD,169978.75
536,EUR,INR,170294.6
537,USD,EUR,170610.45
538,EUR,AUD,170926.3
539,EUR,AUD,171242.15
540,EUR,INR,171558
541,USD,EUR,171873.85
542,EUR,AUD,172189.7
543,EUR,AUD,172505.55
544,EUR,INR,172821.4
545,USD,EUR,173137.25
546,EUR,AUD,173453.1
547,EUR,AUD,173768.95
548,EUR,INR,174084.8
549,USD,EUR,174400.65
550,EUR,AUD,174716.5
551,EUR,AUD,175032.35
552,EUR,INR,175348.2
553,USD,EUR,175664.05
554,EUR,AUD,175979.9
555,EUR,AUD,176295.75
556,EUR,INR,176611.6
557,USD,EUR,176927.45
558,EUR,AUD,177243.3
559,EUR,AUD,177559.15
560,EUR,INR,177875
561,USD,EUR,178190.85
562,EUR,AUD,178506.7
563,EUR,AUD,178822.55
564,EUR,INR,179138.4
565,USD,EUR,179454.25
566,EUR,AUD,179770.1
567,EUR,AUD,180085.95
568,EUR,INR,180401.8
569,USD,EUR,180717.65
570,EUR,AUD,181033.5
571,EUR,AUD,181349.35
572,EUR,INR,181665.2
573,USD,EUR,181981.05
574,EUR,AUD,182296.9
575,EUR,AUD,182612.75
576,EUR,INR,182928.6
577,USD,EUR,183244.45
578,EUR,AUD,183560.3
579,EUR,AUD,183876.15
580,EUR,INR,184192
581,USD,EUR,184507.85
582,EUR,AUD,184823.7
583,EUR,AUD,185139.55
584,EUR,INR,185455.4
585,USD,EUR,185771.25
586,EUR,AUD,186087.1
587,EUR,AUD,186402.95
588,EUR,INR,186718.8
589,USD,EUR,187034.65
590,EUR,AUD,187350.5
591,EUR,AUD,187666.35
592,EUR,INR,187982.2
593,USD,EUR,188298.05
594,EUR,AUD,188613.9
595,EUR,AUD,188929.75
596,EUR,INR,189245.6
597,USD,EUR,189561.45
598,EUR,AUD,189877.3
599,EUR,AUD,190193.15
600,EUR,INR,190509
601,USD,EUR,190824.85
602,EUR,AUD,191140.7
603,EUR,AUD,191456.55
604,EUR,INR,191772.4
605,USD,EUR,192088.25
606,EUR,AUD,192404.1
607,EUR,AUD,192719.95
608,EUR,INR,193035.8
609,USD,EUR,193351.65
610,EUR,AUD,193667.5
611,EUR,AUD,193983.35
612,EUR,INR,194299.2
613,USD,EUR,194615.05
614,EUR,AUD,194930.9
615,EUR,AUD,195246.75
616,EUR,INR,195562.6
617,USD,EUR,195878.45
618,EUR,AUD,196194.3
619,EUR,AUD,196510.15
620,EUR,INR,196826
621,USD,EUR,197141.85
622,EUR,AUD,197457.7
623,EUR,AUD,197773.55
624,EUR,INR,198089.4
625,USD,EUR,198405.25
626,EUR,AUD,198721.1
627,EUR,AUD,199036.95
628,EUR,INR,199352.8
629,USD,EUR,199668.65
630,EUR,AUD,199984.5
631,EUR,AUD,200300.35
632,EUR,INR,200616.2
633,USD,EUR,200932.05
634,EUR,AUD,201247.9
635,EUR,AUD,201563.75
636,EUR,INR,201879.6
637,USD,EUR,202195.45
638,EUR,AUD,202511.3
639,EUR,AUD,202827.15
640,EUR,INR,203143
641,USD,EUR,203458.85
642,EUR,AUD,203774.7
643,EUR,AUD,204090.55
644,EUR,INR,204406.4
645,USD,EUR,204722.25
646,EUR,AUD,205038.1
647,EUR,AUD,205353.95
648,EUR,INR,205669.8
649,USD,EUR,205985.65
650,EUR,AUD,206301.5
651,EUR,AUD,206617.35
652,EUR,INR,206933.2
653,USD,EUR,207249.05
654,EUR,AUD,207564.9
655,EUR,AUD,207880.75
656,EUR,INR,208196.6
657,USD,EUR,208512.45
658,EUR,AUD,208828.3
659,EUR,AUD,209144.15
660,EUR,INR,209460
661,USD,EUR,209775.85
662,EUR,AUD,210091.7
663,EUR,AUD,210407.55
664,EUR,INR,210723.4
665,USD,EUR,211039.25
666,EUR,AUD,211355.1
667,EUR,AUD,211670.95
668,EUR,INR,211986.8
669,USD,EUR,212302.65
670,EUR,AUD,212618.5
671,EUR,AUD,212934.35
672,EUR,INR,213250.2
673,USD,EUR,213566.05
674,EUR,AUD,213881.9
675,EUR,AUD,214197.75
676,EUR,INR,214513.6
677,USD,EUR,214829.45
678,EUR,AUD,215145.3
679,EUR,AUD,215461.15
680,EUR,INR,215777
681,USD,EUR,216092.85
682,EUR,AUD,216408.7
683,EUR,AUD,216724.55
684,EUR,INR,217040.4
685,USD,EUR,217356.25
686,EUR,AUD,217672.1
687,EUR,AUD,217987.95
688,EUR,INR,218303.8
689,USD,EUR,218619.65
690,EUR,AUD,218935.5
691,EUR,AUD,219251.35
692,EUR,INR,219567.2
693,USD,EUR,219883.05
694,EUR,AUD,220198.9
695,EUR,AUD,220514.75
696,EUR,INR,220830.6
697,USD,EUR,221146.45
698,EUR,AUD,221462.3
699,EUR,AUD,221778.15
700,EUR,INR,222094
701,USD,EUR,222409.85
702,EUR,AUD,222725.7
703,EUR,AUD,223041.55
704,EUR,INR,223357.4
705,USD,EUR,223673.25
706,EUR,AUD,223989.1
707,EUR,AUD,224304.95
708,EUR,INR,224620.8
709,USD,EUR,224936.65
710,EUR,AUD,225252.5
711,EUR,AUD,225568.35
712,EUR,INR,225884.2
713,USD,EUR,226200.05
714,EUR,AUD,226515.9
715,EUR,AUD,226831.75
716,EUR,INR,227147.6
717,USD,EUR,227463.45
718,EUR,AUD,227779.3
719,EUR,AUD,228095.15
720,EUR,INR,228411
721,USD,EUR,228726.85
722,EUR,AUD,229042.7
723,EUR,AUD,229358.55
724,EUR,INR,229674.4
725,USD,EUR,229990.25
726,EUR,AUD,230306.1
727,EUR,AUD,230621.95
728,EUR,INR,230937.8
729,USD,EUR,231253.65
730,EUR,AUD,231569.5
731,EUR,AUD,231885.35
732,EUR,INR,232201.2
733,USD,EUR,232517.05
734,EUR,AUD,232832.9
735,EUR,AUD,233148.75
736,EUR,INR,233464.6
737,USD,EUR,233780.45
738,EUR,AUD,234096.3
739,EUR,AUD,234412.15
740,EUR,INR,234728
741,USD,EUR,235043.85
742,EUR,AUD,235359.7
743,EUR,AUD,235675.55
744,EUR,INR,235991.4
745,USD,EUR,236307.25
746,EUR,AUD,236623.1
747,EUR,AUD,236938.95
748,EUR,INR,237254.8
749,USD,EUR,237570.65
750,EUR,AUD,237886.5
751,EUR,AUD,238202.35
752,EUR,INR,238518.2
753,USD,EUR,238834.05
754,EUR,AUD,239149.9
755,EUR,AUD,239465.75
756,EUR,INR,239781.6
757,USD,EUR,240097.45
758,EUR,AUD,240413.3
759,EUR,AUD,240729.15
760,EUR,INR,241045
761,USD,EUR,241360.85
762,EUR,AUD,241676.7
763,EUR,AUD,241992.55
764,EUR,INR,242308.4
765,USD,EUR,242624.25
766,EUR,AUD,242940.1
767,EUR,AUD,243255.95
768,EUR,INR,243571.8
769,USD,EUR,243887.65
770,EUR,AUD,244203.5
771,EUR,AUD,244519.35
772,EUR,INR,244835.2
773,USD,EUR,245151.05
774,EUR,AUD,245466.9
775,EUR,AUD,245782.75
776,EUR,INR,246098.6
777,USD,EUR,246414.45
778,EUR,AUD,246730.3
779,EUR,AUD,247046.15
780,EUR,INR,247362
781,USD,EUR,247677.85
782,EUR,AUD,247993.7
783,EUR,AUD,248309.55
784,EUR,INR,248625.4
785,USD,EUR,248941.25
786,EUR,AUD,249257.1
787,EUR,AUD,249572.95
788,EUR,INR,249888.8
789,USD,EUR,250204.65
790,EUR,AUD,250520.5
791,EUR,AUD,250836.35
792,EUR,INR,251152.2
793,USD,EUR,251468.05
794,EUR,AUD,251783.9
795,EUR,AUD,252099.75
796,EUR,INR,252415.6
797,USD,EUR,252731.45
798,EUR,AUD,253047.3
799,EUR,AUD,253363.15
800,EUR,INR,253679
801,USD,EUR,253994.85
802,EUR,AUD,254310.7
803,EUR,AUD,254626.55
804,EUR,INR,254942.4
805,USD,EUR,255258.25
806,EUR,AUD,255574.1
807,EUR,AUD,255889.95
808,EUR,INR,256205.8
809,USD,EUR,256521.65
810,EUR,AUD,256837.5
811,EUR,AUD,257153.35
812,EUR,INR,257469.2
813,USD,EUR,257785.05
814,EUR,AUD,258100.9
815,EUR,AUD,258416.75
816,EUR,INR,258732.6
817,USD,EUR,259048.45
818,EUR,AUD,259364.3
819,EUR,AUD,259680.15
820,EUR,INR,259996
821,USD,EUR,260311.85
822,EUR,AUD,260627.7
823,EUR,AUD,260943.55
824,EUR,INR,261259.4
825,USD,EUR,261575.25
826,EUR,AUD,261891.1
827,EUR,AUD,262206.95
828,EUR,INR,262522.8
829,USD,EUR,262838.65
830,EUR,AUD,263154.5
831,EUR,AUD,263470.35
832,EUR,INR,263786.2
833,USD,EUR,264102.05
834,EUR,AUD,264417.9
835,EUR,AUD,264733.75
836,EUR,INR,265049.6
837,USD,EUR,265365.45
838,EUR,AUD,265681.3
839,EUR,AUD,265997.15
840,EUR,INR,266313
841,USD,EUR,266628.85
842,EUR,AUD,266944.7
843,EUR,AUD,267260.55
844,EUR,INR,267576.4
845,USD,EUR,267892.25
846,EUR,AUD,268208.1
847,EUR,AUD,268523.95
848,EUR,INR,268839.8
849,USD,EUR,269155.65
850,EUR,AUD,269471.5
851,EUR,AUD,269787.35
852,EUR,INR,270103.2
853,USD,EUR,270419.05
854,EUR,AUD,270734.9
855,EUR,AUD,271050.75
856,EUR,INR,271366.6
857,USD,EUR,271682.45
858,EUR,AUD,271998.3
859,EUR,AUD,272314.15
860,EUR,INR,272630
861,USD,EUR,272945.85
862,EUR,AUD,273261.7
863,EUR,AUD,273577.55
864,EUR,INR,273893.4
865,USD,EUR,274209.25
866,EUR,AUD,274525.1
867,EUR,AUD,274840.95
868,EUR,INR,275156.8
869,USD,EUR,275472.65
870,EUR,AUD,275788.5
871,EUR,AUD,276104.35
872,EUR,INR,276420.2
873,USD,EUR,276736.05
874,EUR,AUD,277051.9
875,EUR,AUD,277367.75
876,EUR,INR,277683.6
877,USD,EUR,277999.45
878,EUR,AUD,278315.3
879,EUR,AUD,278631.15
880,EUR,INR,278947
881,USD,EUR,279262.85
882,EUR,AUD,279578.7
883,EUR,AUD,279894.55
884,EUR,INR,280210.4
885,USD,EUR,280526.25
886,EUR,AUD,280842.1
887,EUR,AUD,281157.95
888,EUR,INR,281473.8
889,USD,EUR,281789.65
890,EUR,AUD,282105.5
891,EUR,AUD,282421.35
892,EUR,INR,282737.2
893,USD,EUR,283053.05
894,EUR,AUD,283368.9
895,EUR,AUD,283684.75
896,EUR,INR,284000.6
897,USD,EUR,284316.45
898,EUR,AUD,284632.3
899,EUR,AUD,284948.15
900,EUR,INR,285264
901,USD,EUR,285579.85
902,EUR,AUD,285895.7
903,EUR,AUD,286211.55
904,EUR,INR,286527.4
905,USD,EUR,286843.25
906,EUR,AUD,287159.1
907,EUR,AUD,287474.95
908,EUR,INR,287790.8
909,USD,EUR,288106.65
910,EUR,AUD,288422.5
911,EUR,AUD,288738.35
912,EUR,INR,289054.2
913,USD,EUR,289370.05
914,EUR,AUD,289685.9
915,EUR,AUD,290001.75
916,EUR,INR,290317.6
917,USD,EUR,290633.45
918,EUR,AUD,290949.3
919,EUR,AUD,291265.15
920,EUR,INR,291581
921,USD,EUR,291896.85
922,EUR,AUD,292212.7
923,EUR,AUD,292528.55
924,EUR,INR,292844.4
925,USD,EUR,293160.25
926,EUR,AUD,293476.1
927,EUR,AUD,293791.95
928,EUR,INR,294107.8
929,USD,EUR,294423.65
930,EUR,AUD,294739.5
931,EUR,AUD,295055.35
932,EUR,INR,295371.2
933,USD,EUR,295687.05
934,EUR,AUD,296002.9
935,EUR,AUD,296318.75
936,EUR,INR,296634.6
937,USD,EUR,296950.45
938,EUR,AUD,297266.3
939,EUR,AUD,297582.15
940,EUR,INR,297898
941,USD,EUR,298213.85
942,EUR,AUD,298529.7
943,EUR,AUD,298845.55
944,EUR,INR,299161.4
945,USD,EUR,299477.25
946,EUR,AUD,299793.1
947,EUR,AUD,300108.95
948,EUR,INR,300424.8
949,USD,EUR,300740.65
950,EUR,AUD,301056.5
951,EUR,AUD,301372.35
952,EUR,INR,301688.2
953,USD,EUR,302004.05
954,EUR,AUD,302319.9
955,EUR,AUD,302635.75
956,EUR,INR,302951.6
957,USD,EUR,303267.45
958,EUR,AUD,303583.3
959,EUR,AUD,303899.15
960,EUR,INR,304215
961,USD,EUR,304530.85
962,EUR,AUD,304846.7
963,EUR,AUD,305162.55
964,EUR,INR,305478.4
965,USD,EUR,305794.25
966,EUR,AUD,306110.1
967,EUR,AUD,306425.95
968,EUR,INR,306741.8
